,zec50
223,-0.0003503053122075883
248,-0.0007236587029302299
337,0.13722315203639135
1126,-0.04972400185004178
1483,-0.05264058022549922
2227,-0.0036300334698680103
4608,-0.049536774860002186
5683,-0.04904577626184059
5797,0.036476220241379864
8678,-0.07748831093735808
16076,0.19204893759011998
16346,0.17280487839643643
17836,-0.013492098104901817
17989,-0.04452226276886484
18622,0.09663917017963786
20430,-0.10396384799738612
20449,0.1826386207189954
21273,-0.001937042133078215
21921,0.0395283293788824
23300,-0.09654956564646755
23364,-0.001713140759628251
25308,0.06961511112912744
26897,0.046690798242103204
30593,-0.025363733510120223
31117,-0.034858520528117776
33834,-0.07159879314080309
35518,0.05241852411142811
38231,0.03501553801259849
39974,0.20166056360721085
41275,0.02045455397086693
41400,-0.05227835158171845
41464,-0.13394721600375026
44465,-0.12763553522097149
45571,0.13710513451664585
47803,0.07679218928317622
49555,-0.08022884914359163
49864,-0.14978860433644203
50094,-0.033137835298696405
54174,-0.1238579207945949
55496,-0.07872249265369158
56475,-0.04868231361268438
60081,0.11325527540568436
60919,-0.058583661644878604
61089,0.07115641741958001
61596,0.018361638741403397
64312,-0.03656214911423694
65996,-0.04305938983801494
66688,-0.015429214631557775
68517,-0.10100146033746826
70750,-0.06865755079906588
72871,0.02727939205011687
78379,-0.03988620678087407
79256,-0.06623380092102105
89278,-0.12975843691169175
91119,-0.04222128390053781
91683,-0.046451590861898984
92607,-0.015273037611077012
93509,-0.049608390010158265
93544,0.11105412270967463
96681,0.04334249370083021
99364,0.11222410905335578
104192,-0.09189200292655286
106103,-0.1021554321772935
107831,-0.057669491007442675
109673,0.015221045125406896
115120,0.0426038013343053
115184,0.05822362972455797
116634,-0.10406275087263706
121750,-0.07322967496059818
122181,-0.12112853701862214
123916,-0.018504283564504176
124320,0.015327342295782032
125616,-0.003679351320924118
128288,0.058010686412452994
132469,0.006027061793388078
132525,-0.050720667306066725
134912,-0.0092751836925542
136021,0.10368919148317612
137596,-0.0017941792349016605
137669,-0.09545379051924852
138362,-0.0035945066328122444
138576,0.02361613323569256
139589,-0.09502514245578686
139605,0.0001070732154606624
139609,-0.04457465943446781
144238,-0.0905422503987161
145151,0.022205646900845366
145242,0.01952023014101978
145345,-0.03183948198302633
145950,-0.04504926873750503
146984,0.06104687378995299
149102,-0.13304294916202752
149558,0.004354870138410849
151082,-0.07086365414192097
152615,-0.03135977057844408
157018,-0.07054310886017423
158327,-0.09452573020685517
159416,-0.0008566565893060041
159902,-0.10172281495031643
163109,-0.010450096501349648
163922,-0.06950532973784562
164300,-0.13200200332683787
169322,-0.0488682157603888
172012,-0.10912083207716661
173619,-0.16299189912668388
174237,-0.045695248457368276
177510,-0.027646571897130157
177612,0.024795888856132375
178647,0.07945170619697883
180377,0.042405950811232884
180945,-0.03313016473199859
182856,0.03065747730334889
183503,-0.07810270577728295
184014,-0.14153173567937793
184903,-0.00628534242726464
186853,-0.08239583329106348
187877,-0.09890267716228718
188376,0.07428797529909814
188461,-0.0022117976386983873
190719,0.009635800389818927
191170,-0.06805244928963461
191804,-0.08494206001301952
194250,-0.08654938417077074
194723,-0.12029039020420473
194805,0.1138196803385223
196299,-0.007815841931499534
196892,-0.04881671201454951
197915,-0.029788213521433793
198326,0.07587966794168821
198930,0.03559202256210714
202006,-0.0493331240031093
209506,-0.05149810157819057
210981,-0.14912542449116728
213789,-0.02594595024478208
214151,-0.0510436960687608
214810,-0.04688323887766721
215491,-0.12262020148261366
218132,-0.1457895799988307
219381,0.006733025341829291
219427,-0.1383465588428312
220924,0.11467437752813758
221614,-0.0038894540110536724
223582,0.0293675281125354
224800,0.022760880051037935
225501,-0.0056022857341866406
227565,-0.060921219597155796
228997,-0.07639487322956495
231653,0.001931949566977731
231691,-0.06077686517042746
231771,-0.1020312558366736
237544,-0.10226425655681792
239009,-0.10824953170587204
239902,-0.07321700462278735
241008,-0.08139773223850177
242103,-0.04675235246298848
242223,0.10339586744435736
243800,-0.02584720510590577
245055,-0.04602436418657896
245693,0.054391641694156556
249700,-0.07427362159416862
253398,0.02015213480639666
253642,-0.023672198120226806
253934,-0.01627891346663124
253982,-0.12422539163330848
255471,-0.09778323983315351
257218,-0.08868218721436238
259131,0.040782507454043104
259791,-0.0849515997137722
260044,0.13601969337828113
260583,-0.050541188564084516
262150,-0.041939156240260456
262612,0.09189977806981409
262622,0.11157355419388337
264062,-0.05896247887317707
265648,-0.010593688883411945
266146,-0.04521859407586115
270539,-0.05206799195675926
270891,0.07460654514742937
270908,-0.02486545404854157
275590,-0.0644306677474542
278100,-0.0977698428709064
278211,0.14743657451845982
282165,-0.013829230537261816
282231,0.04565007567657697
287366,-0.003055412228068932
293094,-0.13539930474965955
293109,-0.08213718039704943
297213,-0.007776713677891456
297454,-0.02250117014208053
300632,0.005794645709587654
303741,0.15564067638522938
307762,-0.10837975575333902
308534,-0.0031070318198409552
309782,0.039647615922663304
310425,-0.10318679170151657
313585,-0.10114174422650679
314388,-0.06467241700968684
314584,0.017787096329825225
314962,-0.049682625255957236
315871,-0.02460355323929697
317134,-0.002849072141328235
317399,-0.06699222538597893
318651,-0.05444502035001619
319225,-0.05801455488376073
319851,0.054353491351728955
322033,0.005106485587804244
323162,0.010449936002562277
325787,-0.054554625482800656
326527,-0.06800109538722166
327406,-0.05416793511402318
327842,-0.12898539065503267
328777,-0.04730272474174302
330398,-0.019372968960893466
332296,-0.042568473365851345
332518,-0.04558330148397105
334885,0.007149639385480855
336054,-0.0017854929726059954
336112,-0.08414847421237792
336254,0.05893760746294818
336265,-0.07740614759175268
336356,0.034865913411550764
336828,0.21104996242344565
338086,-0.05974634903004561
339395,-0.05628572915456931
342807,-0.1173049766887313
343982,0.08696291326090866
344000,-3.758635745731986e-05
346508,-0.0343092290082867
347600,0.07299239675745395
350594,0.39986546645345666
