config,slope,intercept,tcre_postpeak,zec,n_scen
223,2062.430508312984,24.58835144324678,1.7765447054975247,-0.011922026630298167,94
248,2198.5860308886035,11.070165805394026,1.6665256435378695,-0.0050351296923867896,94
337,2513.1759352841964,-156.91215617910248,1.4579162360098221,0.062435802434722285,62
1126,2061.145727791533,98.5553004004376,1.7776520847586483,-0.04781578472184846,94
1483,2488.056794241383,112.18004556470197,1.4726351940519773,-0.04508741352863934,94
2227,2023.7151334604982,3.7301893094071374,1.8105315018990142,-0.0018432383331682728,94
4608,1538.3073529697397,46.732282763927174,2.3818387092322992,-0.030379028400084915,94
5683,2152.8879181101597,103.6153004276112,1.7019000242317859,-0.04812851591390155,94
5797,2923.3983435400974,-70.89143338727007,1.2533358678595503,0.024249665990240622,70
8678,2012.5380962623672,159.56724987498274,1.820586654635102,-0.07928657359148969,94
16076,2847.5041980403885,-206.837358280762,1.2867408597752068,0.07263812233292036,57
16346,2580.78263934053,-213.63893733865842,1.4197243673865791,0.0827806782648111,52
17836,1840.433563094913,11.890815123951086,1.9908352431035532,-0.00646087713373105,94
17989,2535.9400964308697,113.34637061229398,1.4448290813954097,-0.04469599686988656,94
18622,2249.4026836308526,-134.85319084993904,1.628876868807584,0.05995066682870094,61
20430,2032.3983732322588,207.7586660918608,1.8027961684366516,-0.10222339715881996,94
20449,2266.021301471427,-123.82194923654143,1.6169309607199212,0.05464288846540781,69
21273,2050.2971881315407,14.04909458343974,1.7870580036931354,-0.00685222350436077,94
21921,2608.75344736441,-84.20306428871078,1.4045022168352828,0.032277126216653414,67
23300,3070.2470625459105,265.14230138213975,1.1933893023455049,-0.08635862065194143,94
23364,1933.6592667065088,-4.216555567015803,1.8948529676796066,0.002180609396710115,94
25308,1921.4609840607934,-111.41521888822638,1.9068823308899798,0.05798463763378778,63
26897,2085.1052069195853,-77.34805285707671,1.7572254809209282,0.037095515660500546,67
30593,1993.7813445989532,57.04702222490289,1.837714055217529,-0.028612476678769323,94
31117,2156.263036938881,79.97274023489643,1.699236103032014,-0.03708858282356358,94
33834,1295.2285919722276,82.61777949227672,2.828844284869341,-0.06378625364228234,94
35518,2612.7533366038297,-80.94082573030909,1.4023520508685394,0.030979130175188864,69
38231,1596.723004624987,-47.41392044954995,2.2946998254468953,0.02969451828038626,87
39974,2818.6897289696453,-276.40576597994175,1.2998947568944925,0.09806179202312565,47
41275,2165.6881345990873,-24.30662847930401,1.6918410095451164,0.011223512790683345,89
41400,1888.3176352164876,81.4843832916469,1.940351523317706,-0.0431518414974211,94
41464,1879.1926538723644,208.4096913434512,1.9497734798237778,-0.11090384528376646,94
44465,1838.9579390180213,223.76383835771088,1.9924327371818664,-0.12167969348836644,94
45571,3234.8643820539373,-194.3849126595694,1.1326595390912766,0.060090591042381535,57
47803,2317.7463794575624,-90.27788727595023,1.580845959883458,0.03895071871370092,69
49555,1772.5537134925542,139.6189091937258,2.0670741722013215,-0.07876709638244331,94
