,zec50_1000,ecs,tcr,deltaco2conc50_1000,f50_1000
223,0.027780962239432938,2.6305710220141165,1.8046986919486514,-59.69273528471109,-0.7868275672270553
248,-0.005505142725457768,2.7550337283771293,1.5825765522102824,-53.36070605308146,-0.6929794642238565
337,0.2957656486855371,3.507869115707215,1.7975866804827774,-60.852455744210374,-0.8345568155657892
1244,-0.1886662306383633,2.5708989173415726,1.9431718668092364,-63.28167348311422,-0.8116431693982222
1483,-0.04791772140619188,3.0203004703678644,1.6580582288221206,-67.3400446682133,-0.7776317065870408
3495,-0.08545221038637818,1.9477748798388448,1.460282030865677,-74.52103443430474,-0.8379454474481443
3925,0.16809302084380873,6.3419936180082885,2.8169981275844473,-52.082895368530956,-0.6144656731557729
4086,0.10620392728905736,2.5422320444232613,1.8044035050307938,-56.23714708900059,-0.7457669046333417
5030,0.1578962178281862,2.7492855370280402,1.9777815683878956,-55.81608947806956,-0.6496777604481196
10946,-0.1309572525353695,3.232351936870691,2.142688034232,-71.33901997725184,-0.7920714965961579
12055,-0.012808439335143085,2.9539340028945364,1.7929072692475925,-53.908850480909905,-0.600506252002893
12252,0.09560541168428571,2.5615947756625337,1.6740102241915409,-53.656542324626,-0.6873082879145942
16346,0.3027823846716897,5.235961075944509,1.997882594870546,-58.3681380589602,-0.7042217985354973
17439,0.0996668766259674,2.3595464018243715,1.4897752638038244,-65.34380409251571,-0.8678851965567591
17964,0.1353144147425578,3.354578633848566,2.1103837435231827,-52.80185923935443,-0.5845158856693047
17989,-0.05821170128747988,2.315809039165838,1.589650370395029,-57.7256183738217,-0.6464977329641202
20430,-0.15538175088792472,2.525741471204981,1.8717862663549703,-60.36348946453279,-0.7169780787105409
20449,0.5058257903394696,4.016182601473211,2.31874954769114,-56.63760621840436,-0.6864537237176953
21903,0.008226038954153303,3.244750324801042,2.156899757380242,-55.08575693728551,-0.5979134979886487
23364,0.08019097019076682,3.9757932939697773,2.0837639155824563,-61.134625741205696,-0.7494733764992199
27756,0.24838331290419302,3.6365601911466485,2.2692294044407872,-56.336954950653706,-0.6038688851167056
28308,-0.044639052000111645,2.523758989210465,1.6196682654131784,-51.10726891810839,-0.5523668289466337
30593,-0.057634679659888555,3.354045099744738,1.9574527664538626,-56.54689984129391,-0.6469770630593543
31848,0.34346425425417193,7.748917767161666,2.3399202895231093,-53.95424734234342,-0.6515094858362938
32641,-0.08436207782480709,3.539712149615326,2.1021038546950885,-64.8319993309824,-0.7861636514735495
33224,0.021434224281560832,4.413972957130554,2.078056111024175,-80.9948547285943,-0.9960131411511228
33441,-0.15659841868356317,3.1641830175713865,2.1806480667631525,-62.59808479972696,-0.834933920507956
38506,-0.13561177725715656,2.4649705170495277,1.8021847186978688,-58.74159780568806,-0.6807259213364927
41580,0.022478780084617123,2.7806985141759704,1.4335626808150321,-54.493303093216355,-0.5634515788958834
41609,0.15244301287964013,3.4825615206178373,2.1086943160872322,-56.58977786036144,-0.6975967372116831
41661,-0.31283396959874965,3.3744813120091175,2.5567261631814753,-71.53954216789776,-0.8686050215641221
43721,0.03894479911107118,3.6061087079178895,1.7547195150875237,-54.18880126278816,-0.614754557080508
45571,0.22790304144889406,3.2345138650571092,1.5995198186251867,-57.23378550915919,-0.7093772073273628
45930,-0.07367123561722133,3.003828118131292,1.9078930172820534,-64.31888443857258,-0.7351311301477441
48841,-0.07920953391401975,4.230590751502292,2.3425756032137834,-72.97218515944087,-0.8396948377222828
49008,-0.33936128078982675,3.2236434182667293,2.5559493258539527,-72.36347753299367,-0.9581418467192742
49048,0.15613706977190578,4.654871699681712,2.257235609415752,-55.67759653797418,-0.7149591592230036
49555,-0.09885653401055694,3.033623943523752,2.120576494852447,-56.363721521188495,-0.6530379720102708
50094,0.05273402775395053,2.297461605294327,1.5507882288743877,-59.406614595745395,-0.758682297368396
54443,-0.06954422672352867,2.7619185973042057,1.8921895928839447,-54.7982385686596,-0.6446891167361417
55496,-0.15172590159275812,2.2890193851297616,1.7464604483811592,-60.495130954208435,-0.7658653848936918
55843,-0.10585540494910184,2.606058657976881,1.9394222487504102,-62.965992630908886,-0.7901626694772834
56721,-0.0826441749802922,2.9048079987113415,1.8000370548980975,-60.47085042936396,-0.6900614139700112
59064,0.18458806887553192,3.100939634898559,1.6175524106111072,-51.79592336842086,-0.6057550731974768
61596,0.03601848027499166,2.5395062072881167,1.5755267618850615,-53.27443559558287,-0.5568414219743794
64312,0.011486469631536211,3.837505945960653,1.9508875344418306,-59.87649759835671,-0.7107943230733236
64899,-0.028190717876583227,2.1453066676159542,1.6044909228807218,-47.93736235095821,-0.5927021267684216
65896,0.07445404216413509,3.9490962733765445,1.8891967045202525,-57.70074877242894,-0.6291131263280327
70750,-0.13946318789596002,2.3745767950159906,1.6587149751778862,-60.1363628321223,-0.6733374430789074
72115,-0.06226285597955217,2.513678058111894,1.7073428831755582,-61.774453776717564,-0.7331716085393585
74638,0.18851526217604375,2.850644920434452,1.5412612322272259,-65.59100776134096,-0.7572914138862066
78536,0.0677926189441782,2.9600606008760186,1.7689596194242583,-54.83596523999552,-0.6651195653192721
79256,-0.054906279280167336,2.9544978527865475,1.8247023752544553,-63.59844028667487,-0.7249752191174448
83960,-0.41065907308596916,3.6853982937743592,2.781256156100796,-81.83374116954548,-1.0749893876449539
88397,-0.15258828593901552,2.65250325799773,1.9858818793266153,-54.414844368496006,-0.6476258768196703
91119,-0.07136337455752728,1.83637515844996,1.2736960974316962,-56.4997127210612,-0.6675346166089691
92607,-0.06829112960556838,3.13571898154989,1.8851495778043883,-72.14620448360233,-0.9497753481014222
93611,-0.06619198921643665,3.574524796855651,2.3292079536102444,-59.48605969798871,-0.7015422230225865
98087,-0.09062188874164412,3.967479561964491,2.387614916671355,-60.24236057495699,-0.7126432538539746
99023,0.17724090156487993,3.552338488247108,1.9703713215778151,-57.736126024792725,-0.6908698278642285
101111,-0.08750949592528201,2.6005199006757684,1.798022044184776,-61.267341110270934,-0.7643597443052119
103031,-0.1810597890821648,2.8152384208554553,1.970920154109282,-68.11026484998058,-0.8663284290565949
103127,-0.006977010798304484,2.6103243763537303,1.7783220922097358,-57.179572424241314,-0.7620568349227743
103551,-0.15074569581484742,2.379257748902437,1.7554857582373908,-57.64227174493345,-0.735976699594278
104192,-0.12731440707326636,2.746043589555369,1.8051458463206913,-58.072706904118036,-0.7243739840929408
104797,-0.1522950878437317,3.2688351490309513,2.470384577398381,-63.410999437685405,-0.7131639559945153
107831,-0.056236081922811376,3.516656306096521,1.9275693781792949,-56.12113546642945,-0.6480754725140168
109673,-0.037485194907011854,5.359671180476212,2.0406461589432388,-63.784193117759514,-0.7943008017679514
113115,0.16892823089277087,4.059733328681691,2.168621843901164,-66.87731096120729,-0.8436394214145411
115120,0.1267939392425721,2.0099829930671285,1.276316340080753,-49.00966604916516,-0.634484089231043
115184,0.09247743517363793,2.692641861014935,1.4543244310732708,-62.14508156843323,-0.7414660739792507
115961,-0.014140609023625128,2.359205531763657,1.6199724554530588,-62.248532582249595,-0.8346964606952838
116420,0.04309303678281329,4.407577862006706,1.90951329716095,-53.48981902121636,-0.5571748210943865
122181,-0.1543822511062638,2.372682786856435,1.798495462311314,-56.62576865207325,-0.672667240298876
126399,-0.044051367030790045,3.959868254764052,2.013091280497938,-62.29004366177031,-0.7055763910606991
128182,0.020435535968663432,3.533007312494811,1.8211574762602087,-54.583419306246356,-0.6458591856554006
128656,0.041590752272567144,2.912410300243552,1.7267507703835006,-57.651666052938765,-0.6797622499974278
130107,0.12724494889495563,6.878307765837014,2.1344901913241072,-66.47664922099239,-0.8613734750214324
130935,0.06118976436638013,2.6785084484478916,1.7603132715357905,-53.861544158538095,-0.6776241315585052
132500,0.04310309553430791,2.736588778274956,1.6985148234613328,-57.87328761327717,-0.7465338903619201
134912,0.06637414295480704,2.850084244411657,1.9539622260487475,-66.1659078063131,-0.7828623532739267
137062,0.24058883829932243,4.509578388850721,2.016561238626312,-69.46051120370896,-0.8480327868749775
137669,-0.05893309040676109,2.6970143638823583,2.0474946099024254,-64.0862147169932,-0.6682191581760497
138077,0.2568343064461833,3.0669306016694566,1.7794255490546613,-52.43417465077789,-0.6105578960346842
138362,0.06614745034188663,3.5379054536450165,2.016944813347067,-53.18077610335757,-0.6558939551101832
138576,0.09359888460007415,3.0909023905118373,1.787434153516781,-53.98044875772564,-0.6649735409164799
139605,0.022532142558707058,3.1664259331546156,1.9342601921384754,-63.69177992114612,-0.7202622949706581
142753,0.22890167355757973,2.4871883295891615,1.623885223739344,-55.78867948687338,-0.6959424078297478
145103,-0.05576926799145343,2.8232060772130647,1.799048943693574,-57.40940936890331,-0.7349694007503822
145950,0.0184167903058845,3.216242007049621,2.1429223430158553,-61.62398882075598,-0.763258211525069
146182,0.08387801885182755,3.783389886421105,2.484755126456907,-53.78842939166964,-0.6534768827484649
146984,0.11570622088061233,2.597268361292607,1.5620428791326006,-59.49686167893077,-0.7047000573158346
149102,-0.20614478391651425,2.8493456845957743,2.0452824089360435,-63.109859588305255,-0.7858385937049164
149375,0.0006349862785897109,1.9153537217868108,1.3321141289657665,-55.65344522044103,-0.685361346931082
149439,-0.16496351406462617,3.325458323417262,2.3036423980764886,-70.42328164701968,-0.8787219673132727
150098,-0.04465731839466991,2.5949270925304746,1.6203283064015122,-67.10508081673152,-0.8697015438922278
152701,-0.08447181232719592,3.075238298058306,2.116762210501254,-58.167496394027296,-0.692580808981051
153961,0.01687459331616359,2.6361888088759917,1.6888829569879018,-59.47309365772014,-0.6920607878438658
155692,-0.05611371409680843,2.2251066944854254,1.5060026663046857,-57.68064773476965,-0.65708595816053
156618,-0.10242635702564451,3.470319143822854,2.276436286724584,-62.415315317345915,-0.7232898993245418
