,zec48_750,zec50_750,zec100_750,zec50_1000,zec100_1000,ecs,tcr
223,-0.00016164798127227265,-0.00035030531220781036,-0.021468337662448045,0.011982181971188277,0.0019740145185922486,2.6305710220141165,1.8046986919486514
248,-0.0015529292959666208,-0.0007236587029302299,0.019199148131989974,0.012438448974147587,0.05394109422281801,2.7550337283771293,1.5825765522102824
337,0.13323180768588516,0.13722315203639113,0.19699846241234464,0.19525722152529545,0.2942525307591548,3.507869115707215,1.7975866804827774
1244,-0.1460701901164323,-0.14982493184298162,-0.22400173987779137,-0.18625307469978125,-0.27089349625183434,2.5708989173415726,1.9431718668092364
1483,-0.05193208967052754,-0.05264058022549922,-0.06490550203625134,-0.0624103878938449,-0.07105875213338164,3.0203004703678644,1.6580582288221206
3495,-0.04253670560916789,-0.04457494934064499,-0.09911450360661345,-0.05792686147120607,-0.13020115596212756,1.9477748798388448,1.460282030865677
3925,-0.044115135411531003,-0.04367009220631868,-0.012373463956149688,-0.027012288902232395,0.03032493219468657,6.3419936180082885,2.8169981275844473
4086,-0.003165711177536279,-0.0037627145987571,-0.03421092747703813,0.011089286823199984,-0.014815188793204426,2.5422320444232613,1.8044035050307938
5030,-0.013417093944182001,-0.015883708040699718,-0.08503703490122749,-0.0028824327373340175,-0.07992752721683649,2.7492855370280402,1.9777815683878956
10946,-0.148679123994492,-0.1532910393281981,-0.24646510414945655,-0.19622290556361843,-0.31588177672028106,3.232351936870691,2.142688034232
12055,-0.019172052257266925,-0.018927502156551146,-0.011074676005202289,-0.012429242940136698,0.011097099453879489,2.9539340028945364,1.7929072692475925
12252,-0.03599399280917681,-0.03762966821182068,-0.06966461326750606,-0.031613828721988035,-0.06217055624602308,2.5615947756625337,1.6740102241915409
16346,0.16601767351054297,0.17280487839643643,0.31958212007221554,0.24429710582410902,0.45605164866023395,5.235961075944509,1.997882594870546
17439,-0.0008630590240403802,-0.0019404535026159575,-0.03656033830131333,0.006281392994858859,-0.028375151197630455,2.3595464018243715,1.4897752638038244
17964,0.015504409997729285,0.01596971257316282,0.022817848433354326,0.03985775601362951,0.06383293737566209,3.354578633848566,2.1103837435231827
17989,-0.04373292135373297,-0.04452226276886484,-0.06077869180224971,-0.047982648854120624,-0.05773267707515539,2.315809039165838,1.589650370395029
20430,-0.10114078097114021,-0.10396384799738612,-0.16080738088091495,-0.12542077133355978,-0.1868334600791972,2.525741471204981,1.8717862663549703
20449,0.17970789066854898,0.1826386207189954,0.19182765786749512,0.2627708999374998,0.29785202623771045,4.016182601473211,2.31874954769114
21903,-0.04223063727112142,-0.043229445286774526,-0.06056524415899145,-0.04148828286284112,-0.05538359698584028,3.244750324801042,2.156899757380242
23364,-0.002517277754859437,-0.001713140759628251,0.017388782687227433,0.01042401776505364,0.052691612820007894,3.9757932939697773,2.0837639155824563
27756,-0.03925714472456465,-0.042754247468227424,-0.12352498777341703,-0.03623720063455349,-0.12465472378079356,3.6365601911466485,2.2692294044407872
28308,-0.047054288864466054,-0.04776963538054624,-0.056831830082947454,-0.05014420014541687,-0.05315160659153384,2.523758989210465,1.6196682654131784
30593,-0.02555932421909657,-0.025363733510120223,-0.0175753080458263,-0.020508004058006568,0.003978792870415138,3.354045099744738,1.9574527664538626
31848,0.19122382418991313,0.19982674182623938,0.40266741043425647,0.289032168611707,0.5772397013418629,7.748917767161666,2.3399202895231093
32641,-0.07326881382868966,-0.07489655201710188,-0.10508050144764369,-0.08719163070823077,-0.11418964596038861,3.539712149615326,2.1021038546950885
33224,0.03883057317388161,0.040127123003380394,0.05855349017438782,0.03654683752655563,0.04848860021309909,4.413972957130554,2.078056111024175
33441,-0.10159375825597494,-0.10381826779597003,-0.15076575013232274,-0.12336802862626062,-0.1684820438598993,3.1641830175713865,2.1806480667631525
38506,-0.07028209083998593,-0.07171781004931033,-0.10059579784810646,-0.08665392163682695,-0.11293281115694676,2.4649705170495277,1.8021847186978688
41580,-0.005329685367061021,-0.004838689320755818,0.01030190023461297,0.0032890209692888472,0.03284931253596679,2.7806985141759704,1.4335626808150321
41609,0.05264357619681759,0.054651678657825276,0.08526889397702786,0.08885515519567666,0.14667445207583296,3.4825615206178373,2.1086943160872322
41661,-0.21007220105581825,-0.21591906482302803,-0.3366978906028073,-0.27740760557460487,-0.4312554248853082,3.3744813120091175,2.5567261631814753
43721,0.019662589138820907,0.021417643563524713,0.06449473265618666,0.04091483593794787,0.11039960267585758,3.6061087079178895,1.7547195150875237
45571,0.13285139032596227,0.13710513451664585,0.2101685932002897,0.19414578435527452,0.30817633786755216,3.2345138650571092,1.5995198186251867
45930,-0.036979471532895936,-0.03791522117189561,-0.05963614956053154,-0.039084254018024955,-0.0573001886841753,3.003828118131292,1.9078930172820534
48841,-0.10021978945416143,-0.10317483455785204,-0.1616617972279042,-0.13194558911155707,-0.20836577688850388,4.230590751502292,2.3425756032137834
49008,-0.22346833467736715,-0.22977938647458074,-0.3579271145603009,-0.29011062900409046,-0.4538883218600922,3.2236434182667293,2.5559493258539527
49048,0.05554648588294042,0.05898680631932374,0.1395813890736055,0.09905316800747377,0.22268092321741895,4.654871699681712,2.257235609415752
49555,-0.07870308838148987,-0.08022884914359163,-0.10815079248849835,-0.09263473987884918,-0.11537398502375296,3.033623943523752,2.120576494852447
50094,-0.032074921366191944,-0.033137835298696405,-0.05641892467022469,-0.03106376319152737,-0.05047842691138271,2.297461605294327,1.5507882288743877
54443,-0.07391359235329187,-0.07553825501199807,-0.10498738259354656,-0.08554043220015384,-0.11041752066630206,2.7619185973042057,1.8921895928839447
55496,-0.07685692596310667,-0.07872249265369158,-0.11960474873706284,-0.09193583317848342,-0.1318581433663173,2.2890193851297616,1.7464604483811592
55843,-0.07415344824685244,-0.07625302736295825,-0.124460725874733,-0.08898775445667684,-0.13817620018538812,2.606058657976881,1.9394222487504102
56721,-0.04848893163204071,-0.04951912088655308,-0.06846382836363096,-0.05279673707154142,-0.06544939879617484,2.9048079987113415,1.8000370548980975
59064,0.09064957578366761,0.09407714983133952,0.1608336748316228,0.1426590550931004,0.2426544482054278,3.100939634898559,1.6175524106111072
61596,0.01732030305238086,0.018361638741403397,0.0377188341097392,0.0354343672707107,0.07088055680069982,2.5395062072881167,1.5755267618850615
64312,-0.0364113928053289,-0.03656214911423694,-0.032672361542634754,-0.03544934655837784,-0.015615486014379343,3.837505945960653,1.9508875344418306
64899,-0.08140108664676582,-0.08374756013201545,-0.12521763376963224,-0.09247722227772148,-0.14077291114177104,2.1453066676159542,1.6044909228807218
65896,0.048215497664999996,0.05079934230224881,0.10696850602283381,0.07799906709303639,0.16648024209944268,3.9490962733765445,1.8891967045202525
70750,-0.06716186875788832,-0.06865755079906588,-0.09862965673538082,-0.08234864664327635,-0.11026036918549464,2.3745767950159906,1.6587149751778862
72115,-0.04175500956452405,-0.04252382511297759,-0.06143369677760191,-0.04524803075584605,-0.05855247999887547,2.513678058111894,1.7073428831755582
74638,0.09078609804040916,0.09310542215776185,0.1184958279888626,0.1284836962456617,0.1717820608467031,2.850644920434452,1.5412612322272259
78536,-0.009776408168678863,-0.009796052990279414,-0.0074640673294184,0.002312264363560246,0.019301689379839004,2.9600606008760186,1.7689596194242583
79256,-0.06459018680107409,-0.06623380092102105,-0.09845344081504903,-0.07699285454688187,-0.10856480091894238,2.9544978527865475,1.8247023752544553
83960,-0.2108106367408491,-0.2185300267933057,-0.3705105444605963,-0.3045706449652048,-0.49336497589650996,3.6853982937743592,2.781256156100796
88397,-0.1143146776525863,-0.11731706514845697,-0.1757489272473689,-0.14082163199218423,-0.2046999203437856,2.65250325799773,1.9858818793266153
91119,-0.04125492239089246,-0.04222128390053781,-0.06100578747216856,-0.046499431852647266,-0.0608888655228903,1.83637515844996,1.2736960974316962
92607,-0.015217751384293043,-0.015273037611077012,-0.025992671932136835,-0.016713742091708284,-0.027953316897999736,3.13571898154989,1.8851495778043883
93611,-0.10193405750653328,-0.104082860818558,-0.1428320272875685,-0.12395298779548125,-0.15947324374837546,3.574524796855651,2.3292079536102444
98087,-0.13702052634127915,-0.14008297988435103,-0.19579399661593455,-0.1696629754482899,-0.22738105304442247,3.967479561964491,2.387614916671355
99023,0.08551451238902175,0.08850649506852948,0.13763646174104505,0.13169226269267842,0.21448394604805143,3.552338488247108,1.9703713215778151
101111,-0.053667525670868965,-0.054710762357192744,-0.07744377589510054,-0.06156930197028809,-0.07857051903036916,2.6005199006757684,1.798022044184776
103031,-0.10065068962232182,-0.10313590121209204,-0.15509810164209514,-0.12411420721938016,-0.18518451347509535,2.8152384208554553,1.970920154109282
103127,-0.08760341946887684,-0.08992491241396094,-0.1327294999421107,-0.10433713899467278,-0.14787189300966364,2.6103243763537303,1.7783220922097358
103551,-0.08175077192104441,-0.08372967619266558,-0.12472469977984624,-0.09726671499434425,-0.13539257475387023,2.379257748902437,1.7554857582373908
104192,-0.0902018138078784,-0.09189200292655286,-0.12035772776201292,-0.111164774273256,-0.13940380982363476,2.746043589555369,1.8051458463206913
104797,-0.13124026369072994,-0.13567849798457732,-0.22939756657440147,-0.16838096064910357,-0.27902516087423845,3.2688351490309513,2.470384577398381
107831,-0.05708801757513937,-0.057669491007442675,-0.06131597357963181,-0.0641411527175555,-0.058263374604462737,3.516656306096521,1.9275693781792949
109673,0.013297540408901076,0.015221045125406896,0.06462937804659163,0.029940631496338632,0.1100052239854099,5.359671180476212,2.0406461589432388
113115,0.04918346045368671,0.050782000509823844,0.0713849998981948,0.07597851110120635,0.11653914196385484,4.059733328681691,2.168621843901164
115120,0.04133522429832159,0.0426038013343053,0.061376413080639125,0.0721175135488985,0.10644668706606808,2.0099829930671285,1.276316340080753
115184,0.05623044352674378,0.05822362972455797,0.08896081715984927,0.08395860324175808,0.13707440901024426,2.692641861014935,1.4543244310732708
115961,-0.028436767609929303,-0.029044774203839774,-0.049711040458149336,-0.027635941996387636,-0.041881289261202825,2.359205531763657,1.6199724554530588
116420,0.0037187596598138306,0.004999171351325549,0.042010960837074895,0.020453084667688026,0.08118702473721484,4.407577862006706,1.90951329716095
122181,-0.11829268821157801,-0.12112853701862214,-0.17472757185382914,-0.1465782172805139,-0.20700986446865,2.372682786856435,1.798495462311314
126399,-0.02626799368377286,-0.02593070892558247,-0.01493140150730543,-0.026130924977599834,0.0024284500105042905,3.959868254764052,2.013091280497938
128182,-0.007167504684175041,-0.006277429850653604,0.018320148771513445,0.004812549708932634,0.05188109069815816,3.533007312494811,1.8211574762602087
128656,0.0013279368112408818,0.0020497529508780588,0.018711663811239454,0.01536921843732908,0.04879340337461846,2.912410300243552,1.7267507703835006
130107,0.09684318559832072,0.10186376690578514,0.21872794942231177,0.14141558992184322,0.3089515453902565,6.878307765837014,2.1344901913241072
