,zec48_750,zec50_750,zec100_750,zec50_1000,zec100_1000
223,-0.0001616479812720506,-0.0003503053122075883,-0.021468337662448045,0.011982181971188277,0.0019740145185922486
248,-0.0015529292959666208,-0.0007236587029302299,0.019199148131989974,0.012438448974147587,0.05394109422281801
337,0.13323180768588538,0.13722315203639135,0.19699846241234464,0.19525722152529545,0.2942525307591548
1244,-0.1460701901164323,-0.14982493184298162,-0.22400173987779137,-0.1862530746997817,-0.27089349625183434
1483,-0.05193208967052754,-0.05264058022549922,-0.06490550203625134,-0.0624103878938449,-0.07105875213338164
3495,-0.04253670560916789,-0.04457494934064499,-0.09911450360661345,-0.05792686147120607,-0.13020115596212756
3925,-0.04411513541153145,-0.04367009220631868,-0.012373463956149688,-0.027012288902232395,0.03032493219468657
4086,-0.003165711177536279,-0.0037627145987571,-0.03421092747703813,0.011089286823199984,-0.014815188793204426
5030,-0.013417093944182001,-0.015883708040699718,-0.08503703490122749,-0.0028824327373340175,-0.07992752721683649
10946,-0.148679123994492,-0.1532910393281981,-0.24646510414945655,-0.19622290556361843,-0.31588177672028106
12055,-0.019172052257266925,-0.018927502156551146,-0.011074676005202289,-0.012429242940136698,0.011097099453879489
12252,-0.03599399280917681,-0.03762966821182068,-0.06966461326750606,-0.031613828721988035,-0.06217055624602308
16346,0.16601767351054297,0.17280487839643643,0.31958212007221554,0.24429710582410902,0.45605164866023395
17439,-0.0008630590240403802,-0.0019404535026159575,-0.03656033830131333,0.006281392994858859,-0.028375151197630455
17964,0.015504409997729285,0.01596971257316282,0.022817848433354326,0.03985775601362951,0.06383293737566209
17989,-0.04373292135373297,-0.04452226276886484,-0.06077869180224971,-0.047982648854120624,-0.05773267707515539
20430,-0.10114078097114021,-0.10396384799738612,-0.16080738088091495,-0.12542077133355978,-0.1868334600791972
20449,0.17970789066854898,0.1826386207189954,0.19182765786749512,0.2627708999374998,0.29785202623771045
21903,-0.04223063727112142,-0.043229445286774526,-0.06056524415899145,-0.04148828286284112,-0.05538359698584028
23364,-0.002517277754859437,-0.001713140759628251,0.017388782687227433,0.01042401776505364,0.052691612820007894
27756,-0.03925714472456465,-0.042754247468227424,-0.12352498777341703,-0.03623720063455349,-0.12465472378079356
28308,-0.047054288864466054,-0.04776963538054624,-0.056831830082947454,-0.05014420014541687,-0.05315160659153406
30593,-0.02555932421909657,-0.025363733510120223,-0.0175753080458263,-0.020508004058006568,0.003978792870415582
31848,0.19122382418991357,0.19982674182623983,0.40266741043425736,0.28903216861170655,0.5772397013418624
32641,-0.07326881382868966,-0.07489655201710188,-0.10508050144764369,-0.08719163070823077,-0.11418964596038861
33224,0.03883057317388161,0.040127123003380394,0.05855349017438782,0.03654683752655563,0.04848860021309864
33441,-0.10159375825597494,-0.10381826779597003,-0.15076575013232274,-0.12336802862626062,-0.1684820438598993
38506,-0.07028209083998593,-0.07171781004931033,-0.10059579784810646,-0.08665392163682695,-0.11293281115694676
41580,-0.005329685367061021,-0.004838689320755818,0.01030190023461297,0.0032890209692888472,0.03284931253596679
41609,0.05264357619681759,0.054651678657825276,0.08526889397702786,0.08885515519567666,0.14667445207583296
41661,-0.21007220105581825,-0.21591906482302803,-0.3366978906028073,-0.27740760557460487,-0.4312554248853082
43721,0.01966258913882113,0.021417643563524935,0.0644947326561871,0.04091483593794787,0.11039960267585758
45571,0.13285139032596227,0.13710513451664585,0.2101685932002897,0.19414578435527452,0.30817633786755216
45930,-0.036979471532895714,-0.037915221171895386,-0.059636149560531315,-0.039084254018024955,-0.0573001886841753
48841,-0.10021978945416143,-0.10317483455785204,-0.1616617972279042,-0.13194558911155707,-0.20836577688850388
49008,-0.22346833467736715,-0.22977938647458074,-0.3579271145603009,-0.29011062900409046,-0.4538883218600922
49048,0.05554648588294042,0.05898680631932374,0.1395813890736055,0.09905316800747377,0.22268092321741895
49555,-0.07870308838148987,-0.08022884914359163,-0.10815079248849835,-0.09263473987884918,-0.11537398502375296
50094,-0.032074921366191944,-0.033137835298696405,-0.05641892467022469,-0.03106376319152715,-0.05047842691138271
54443,-0.07391359235329187,-0.07553825501199807,-0.10498738259354656,-0.08554043220015384,-0.11041752066630206
55496,-0.07685692596310667,-0.07872249265369158,-0.11960474873706284,-0.09193583317848364,-0.1318581433663173
55843,-0.07415344824685244,-0.07625302736295825,-0.124460725874733,-0.08898775445667684,-0.13817620018538812
56721,-0.04848893163204093,-0.04951912088655308,-0.06846382836363096,-0.05279673707154142,-0.06544939879617484
59064,0.09064957578366761,0.0940771498313393,0.1608336748316226,0.1426590550931004,0.2426544482054278
61596,0.01732030305238086,0.018361638741403397,0.0377188341097392,0.0354343672707107,0.07088055680069982
64312,-0.0364113928053289,-0.03656214911423694,-0.032672361542634754,-0.03544934655837784,-0.015615486014379343
64899,-0.08140108664676582,-0.08374756013201545,-0.12521763376963224,-0.09247722227772148,-0.14077291114177104
65896,0.048215497664999996,0.05079934230224881,0.10696850602283381,0.07799906709303639,0.16648024209944268
70750,-0.06716186875788832,-0.06865755079906588,-0.09862965673538082,-0.08234864664327635,-0.11026036918549464
72115,-0.04175500956452405,-0.04252382511297759,-0.06143369677760191,-0.04524803075584605,-0.05855247999887547
74638,0.09078609804040894,0.09310542215776163,0.11849582798886238,0.1284836962456617,0.1717820608467031
78536,-0.009776408168678863,-0.009796052990279414,-0.0074640673294184,0.0023122643635598017,0.019301689379839004
79256,-0.06459018680107409,-0.06623380092102105,-0.09845344081504903,-0.07699285454688187,-0.10856480091894238
83960,-0.2108106367408491,-0.2185300267933057,-0.3705105444605963,-0.3045706449652048,-0.49336497589650996
88397,-0.1143146776525863,-0.11731706514845697,-0.1757489272473689,-0.14082163199218423,-0.2046999203437856
91119,-0.04125492239089246,-0.04222128390053781,-0.06100578747216856,-0.046499431852647266,-0.0608888655228903
92607,-0.015217751384293043,-0.015273037611077012,-0.025992671932136835,-0.016713742091708284,-0.027953316897999736
93611,-0.10193405750653328,-0.104082860818558,-0.1428320272875685,-0.12395298779548125,-0.15947324374837546
98087,-0.13702052634127915,-0.14008297988435103,-0.19579399661593455,-0.1696629754482899,-0.22738105304442247
99023,0.08551451238902175,0.08850649506852948,0.13763646174104505,0.13169226269267842,0.21448394604805143
101111,-0.053667525670868965,-0.054710762357192744,-0.07744377589510054,-0.06156930197028809,-0.07857051903036916
103031,-0.10065068962232182,-0.10313590121209204,-0.15509810164209514,-0.12411420721938016,-0.18518451347509535
103127,-0.08760341946887684,-0.08992491241396094,-0.1327294999421107,-0.10433713899467278,-0.14787189300966364
103551,-0.08175077192104441,-0.0837296761926658,-0.12472469977984646,-0.09726671499434425,-0.13539257475387023
104192,-0.0902018138078784,-0.09189200292655286,-0.12035772776201292,-0.111164774273256,-0.13940380982363476
104797,-0.13124026369072994,-0.13567849798457732,-0.22939756657440147,-0.16838096064910313,-0.279025160874238
107831,-0.05708801757513937,-0.057669491007442675,-0.06131597357963181,-0.0641411527175555,-0.05826337460446296
109673,0.013297540408901076,0.015221045125406896,0.06462937804659163,0.029940631496338632,0.1100052239854099
113115,0.04918346045368671,0.050782000509823844,0.0713849998981948,0.07597851110120635,0.11653914196385484
115120,0.04133522429832159,0.0426038013343053,0.061376413080639125,0.07211751354889873,0.10644668706606808
115184,0.05623044352674378,0.05822362972455797,0.08896081715984927,0.08395860324175808,0.13707440901024426
115961,-0.028436767609929303,-0.029044774203839774,-0.049711040458149336,-0.027635941996387636,-0.041881289261202825
116420,0.0037187596598138306,0.004999171351325549,0.042010960837074895,0.020453084667688026,0.08118702473721484
122181,-0.11829268821157801,-0.12112853701862214,-0.17472757185382914,-0.1465782172805139,-0.20700986446865
126399,-0.02626799368377286,-0.02593070892558247,-0.01493140150730543,-0.026130924977599834,0.0024284500105045126
128182,-0.007167504684175041,-0.006277429850653604,0.018320148771513445,0.004812549708932634,0.05188109069815816
128656,0.0013279368112408818,0.0020497529508780588,0.018711663811239454,0.01536921843732908,0.04879340337461846
130107,0.09684318559832072,0.10186376690578514,0.21872794942231177,0.14141558992184322,0.3089515453902565
130935,-0.012615513472090889,-0.012660617665507079,-0.01445529392097189,-0.000567745749883608,0.010039278589930811
132500,0.008869588681670537,0.009750006748359352,0.023234451108194554,0.025073848641914864,0.05644274408232719
134912,-0.008039924720906422,-0.0092751836925542,-0.058888088504524205,-0.0035474781297499813,-0.057720015583691886
137062,0.10872432641329821,0.11228663769384717,0.1724933535043196,0.15124085297911494,0.23508948849114564
