,zec48_750,zec50_750,zec100_750,zec50_1000,zec100_1000,ecs,tcr,deltaco2conc50_1000,f50_1000
1234,-0.0274285354853685,-0.028437801862425616,-0.05351175008150311,-0.03495309332627783,-0.06708201001433522,2.3605085141045876,1.481395948148521,-31.101731928412732,-0.37882661585473754
2451,-0.04124560008967226,-0.042861843213546025,-0.07765652131830925,-0.04203332936246551,-0.07323355986498448,2.542116617150482,1.7309585854654648,-24.886654593983394,-0.2678420633217078
5859,-0.08467258349641749,-0.08650556953900002,-0.11983918336192967,-0.09925443077373863,-0.12349510014645082,3.5839529734907822,2.0742969028135554,-27.292472329306747,-0.3563540845256803
5883,-0.03205836197907419,-0.03292422824206653,-0.05415561313218231,-0.038995359277852026,-0.06453218363599822,2.2419707398100726,1.4458900232950498,-31.659246241942924,-0.356593603702541
14573,-0.003478591218860405,-0.003495198855120618,-0.010150444029680683,0.009950165215690143,0.01156230968788674,2.915071828743587,1.737340540134234,-27.660029254818312,-0.3889377138160519
15405,0.008698410237346854,0.009272228772203128,0.019328499583865955,0.02633561712388066,0.05251367838986609,2.63500009454051,1.4711184031878073,-24.567265780019454,-0.3127932380275147
16333,-0.03954652724213381,-0.04059283670379288,-0.05745216711160217,-0.06522660598380514,-0.09278754942690148,3.778409228466798,1.863659845017792,-37.19412704392403,-0.5061266807910418
17442,-0.08074614005961456,-0.08299507193046085,-0.12595563513969843,-0.1036990151146564,-0.159235135244725,2.9201741124320804,1.8698067561333702,-31.53878874339989,-0.40490082967949315
18747,-0.003992345848688017,-0.00453768472541205,-0.026577333874121978,-0.001390844639481914,-0.028464260200141034,2.989639087346238,1.835526300772393,-30.707906802341427,-0.34054719034353953
18920,-0.07609232321908155,-0.07816380696914349,-0.11790327752398877,-0.10173596404418572,-0.15638353066631905,3.114523502104026,1.7819441908684632,-33.76598554803934,-0.4665534028461833
19334,-0.05085764828667472,-0.05209871676820743,-0.07616048612913784,-0.05736430558976724,-0.0803770423431438,2.3035762196705996,1.4674960669219232,-26.6879441671511,-0.3356012571495044
20672,-0.0491624883324876,-0.05047533578644481,-0.07698269336699926,-0.05638755450187727,-0.08522567908013445,2.3959205996872814,1.530027351068329,-28.460356557101193,-0.37137222381163104
22035,0.03058759716547732,0.031029926827359056,0.024192348310045686,0.04910011854994356,0.04746122621523874,2.1250343748216762,1.2849906058016822,-28.571193448694657,-0.4036205949525602
22820,0.07421081514890915,0.07525051030917052,0.06696027595934595,0.10436502063432407,0.09682085696651366,3.6510878063332575,2.065764434160888,-30.89484572780168,-0.38885623618233733
23791,-0.1724395913591863,-0.17755978204754708,-0.27260694860083456,-0.23540381153907752,-0.3572865191700234,2.347112874104526,1.7249396274030695,-35.616912186525155,-0.5268494109899517
24718,0.06386987654072684,0.06647163705221404,0.11326733099128394,0.0906247020120563,0.1544440938878957,4.623429963227622,2.1460232710971474,-30.598343104717856,-0.40614344070566544
25718,-0.027381582817966876,-0.02774115789084275,-0.031489855645980724,-0.023705264495229583,-0.018241717854134754,2.885454493509811,1.4607561772755753,-26.002556122384135,-0.32368468598705213
25940,-0.05419771916102212,-0.05507399030939264,-0.06907472958478222,-0.05957449650142155,-0.05993301330518985,3.3963136913848153,1.9495650740462533,-24.630076770396613,-0.287352216093415
26795,-0.07990394557249336,-0.0819749129184697,-0.12227745757102781,-0.09159404916777714,-0.12878002646207332,2.7176511982059592,1.7667786286117293,-25.06147378033421,-0.3216597591976358
27777,0.06155050261396422,0.06401422083459152,0.11864771806303454,0.08793281035407796,0.16190193056403368,6.63608945773094,2.443198982951143,-31.96122957834831,-0.37733169000046596
31415,-0.012292220464436787,-0.013230976331028765,-0.04451894472136042,-0.0074917843087105584,-0.0416435780103348,1.8930951219180177,1.3446812598387468,-26.941049297016207,-0.33653743730181773
31838,-0.12896623060770285,-0.13319589880997507,-0.2160527818429534,-0.17430697513597204,-0.28403620112746064,2.3097828712922315,1.7000604966342123,-34.64578034517666,-0.4256378737315072
32253,-0.03943791883367731,-0.04032725106844137,-0.05683555215241898,-0.039580253598773485,-0.04709670334921401,2.7644217142326255,1.8091725660227846,-22.60550807989864,-0.23029887293444506
36982,0.02160958573125038,0.023492149513010707,0.0691093808422174,0.050366088068296344,0.13555143805495073,4.740831315200953,2.1497533374712683,-24.433595746078026,-0.3044852410193961
38028,-0.01332351042375679,-0.013296380289703258,-0.013620648453200213,-0.007765135858751382,-0.0017788737424311307,3.4717198806291796,1.8972142033939137,-29.059695083389556,-0.35720904520627217
38322,-0.17132653656452312,-0.1768544825878431,-0.2786557541279773,-0.243573323652009,-0.37112952063884863,2.232522546687518,1.6754499999928776,-39.24385874953367,-0.5373430860948902
38775,-0.04516419156810625,-0.04622568546711814,-0.06931712841888382,-0.05294120694081128,-0.07831930696521949,2.635088566354402,1.5857682133174673,-30.24665528071057,-0.41422211546080456
38827,-0.04799110935945605,-0.049112928068866246,-0.06874334608148036,-0.05102837979093122,-0.06757885900506255,3.64024331171521,1.9621687881072465,-27.936263435195883,-0.33998454639820297
42880,-0.15206707041572742,-0.1567605150595901,-0.2513808784881475,-0.18714564705613235,-0.29793724694930934,2.643008535188379,2.1450106806744786,-26.30596624756197,-0.32918504475342614
44244,-0.17150477344720616,-0.1771218435903512,-0.2870445346060506,-0.22555425087409198,-0.36798222396380886,2.5589747314200073,1.950153669717387,-32.3647680787891,-0.4227299521182153
44403,-0.038208817948601204,-0.039078761020236774,-0.05662231046016908,-0.036615533225573094,-0.04714187831693106,2.4859912126699073,1.6236736319084528,-24.133238471926575,-0.27910402922813615
46428,-0.04632303690235995,-0.04710635393545637,-0.061323947779677423,-0.05004694293122869,-0.054239573058822765,2.4622450501064597,1.5712805142839767,-24.583136220556185,-0.3200362747869905
47306,-0.03311823134876313,-0.03396993033153928,-0.05046959785196348,-0.03465050594825203,-0.052481042910858866,2.3030412640411484,1.4538422976120762,-28.289417809327347,-0.3383124187077642
53259,-0.0653451422071254,-0.06671293827509206,-0.09388883684397509,-0.07854329969226392,-0.10008186428035026,2.246798212845026,1.5422590628619646,-27.044109223823284,-0.3684989102331957
53461,0.13888152669995613,0.14349254383332322,0.2277666690603568,0.20809995081975208,0.3403203361877223,4.301437200068589,1.8946934255170014,-24.853318723404698,-0.31359470335103046
55352,-0.011201933286231092,-0.012470253996023972,-0.056176612506843915,-0.013030918466036878,-0.06956608419176868,2.541497418955295,1.6969424915407227,-31.924525370621325,-0.3756438535314368
57778,0.09149612523789119,0.09316783670484963,0.0987688800087958,0.1414889131796373,0.17007034372400986,2.9301261397400427,1.6819610888397456,-24.914048497803776,-0.3160605750871932
68803,0.0021559661307302136,0.002029919486689735,-0.010929063498355873,0.010888069535581524,0.0017595935158496445,2.0966722475102317,1.3827855468559718,-27.92727334328879,-0.33997776139816516
71688,-0.11317275598205367,-0.11566126847485303,-0.1632362802681826,-0.13448897416066363,-0.17528436990914154,4.042210332714019,2.5150222533572713,-26.934126237214798,-0.33903150599690735
72773,-0.008201226185589383,-0.008213856751835724,-0.011151238727455048,0.00208308658677292,0.010017290462358996,2.3693844901941787,1.4549490895744308,-25.287911261000772,-0.306653974577376
72836,-0.08837065984635428,-0.09084237145185403,-0.13957090875257572,-0.11032984639385979,-0.17019137053338018,3.1491644342476173,2.00643063434749,-30.52805877925414,-0.3714190133383637
73150,-0.10667035128144131,-0.10951944113718848,-0.16612548844507746,-0.12908845899833277,-0.19185624674122304,2.5765184663593845,1.7867281358398988,-27.217680846798658,-0.37569912580508946
79138,0.008781890532335801,0.006716116402772254,-0.06363085938696322,0.030781159332085917,-0.03946233375743935,3.1112689782818554,2.1610746081200207,-24.031598187272778,-0.2732013209000397
80252,-0.13500660857849955,-0.13925761849996654,-0.225001757190038,-0.16620221516459188,-0.2597754504381915,3.688558417948302,2.451619996755939,-27.46511590555434,-0.3347498793992676
