year,esm-bell-750PgC,esm-bell-1000PgC,esm-bell-2000PgC
0.5,0.574007883,0.765343844,1.530687688
1.5,0.695095593,0.926794124,1.853588248
2.5,0.83844533,1.117927107,2.235854215
3.5,1.007415208,1.343220278,2.686440556
4.5,1.205718134,1.607624178,3.215248356
5.5,1.437429718,1.916572958,3.833145916
6.5,1.706990026,2.275986702,4.551973404
7.5,2.019197895,2.69226386,5.384527721
8.5,2.37919656,3.17226208,6.344524161
9.5,2.792449314,3.723265752,7.446531504
10.5,3.264704003,4.35293867,8.705877341
11.5,3.801945278,5.069260371,10.13852074
12.5,4.41033368,5.880444907,11.76088981
13.5,5.096130881,6.794841174,13.58968235
14.5,5.865610689,7.820814252,15.6416285
15.5,6.724955787,8.966607716,17.93321543
16.5,7.680140575,10.24018743,20.48037487
17.5,8.736800971,11.64906796,23.29813592
18.5,9.900092505,13.20012334,26.40024668
19.5,11.1745386,14.8993848,29.7987696
20.5,12.56387146,16.75182862,33.50365723
21.5,14.07086857,18.76115809,37.52231618
22.5,15.6971882,20.92958427,41.85916854
23.5,17.44320808,23.25761077,46.51522154
24.5,19.30787128,25.74382837,51.48765674
25.5,21.28854428,28.38472571,56.76945142
26.5,23.38089185,31.17452246,62.34904492
27.5,25.57877359,34.10503146,68.21006291
28.5,27.87416714,37.16555619,74.33111238
29.5,30.25712219,40.34282958,80.68565917
30.5,32.7157496,43.62099946,87.24199892
31.5,35.2362489,46.9816652,93.9633304
32.5,37.80297681,50.40396907,100.8079381
33.5,40.39855839,53.86474452,107.729489
34.5,43.00404156,57.33872208,114.6774442
35.5,45.59909414,60.79879219,121.5975844
36.5,48.1622419,64.21632253,128.4326451
37.5,50.67114422,67.56152562,135.1230512
38.5,53.1029032,70.80387094,141.6077419
39.5,55.43440063,73.91253417,147.8250683
40.5,57.6426561,76.85687481,153.7137496
41.5,59.70519894,79.60693192,159.2138638
42.5,61.6004454,82.1339272,164.2678544
43.5,63.30807265,84.41076353,168.8215271
44.5,64.80938033,86.4125071,172.8250142
45.5,66.08763082,88.11684109,176.2336822
46.5,67.12835957,89.50447942,179.0089588
47.5,67.91964743,90.5595299,181.1190598
48.5,68.45234782,91.2697971,182.5395942
49.5,68.72026274,91.62701698,183.254034
50.5,68.72026274,91.62701698,183.254034
51.5,68.45234782,91.2697971,182.5395942
52.5,67.91964743,90.5595299,181.1190598
53.5,67.12835957,89.50447942,179.0089588
54.5,66.08763082,88.11684109,176.2336822
55.5,64.80938033,86.4125071,172.8250142
56.5,63.30807265,84.41076353,168.8215271
57.5,61.6004454,82.1339272,164.2678544
58.5,59.70519894,79.60693192,159.2138638
59.5,57.6426561,76.85687481,153.7137496
60.5,55.43440063,73.91253417,147.8250683
61.5,53.1029032,70.80387094,141.6077419
62.5,50.67114422,67.56152562,135.1230512
63.5,48.1622419,64.21632253,128.4326451
64.5,45.59909414,60.79879219,121.5975844
65.5,43.00404156,57.33872208,114.6774442
66.5,40.39855839,53.86474452,107.729489
67.5,37.80297681,50.40396907,100.8079381
68.5,35.2362489,46.9816652,93.9633304
69.5,32.7157496,43.62099946,87.24199892
70.5,30.25712219,40.34282958,80.68565917
71.5,27.87416714,37.16555619,74.33111238
72.5,25.57877359,34.10503146,68.21006291
73.5,23.38089185,31.17452246,62.34904492
74.5,21.28854428,28.38472571,56.76945142
75.5,19.30787128,25.74382837,51.48765674
76.5,17.44320808,23.25761077,46.51522154
77.5,15.6971882,20.92958427,41.85916854
78.5,14.07086857,18.76115809,37.52231618
79.5,12.56387146,16.75182862,33.50365723
80.5,11.1745386,14.8993848,29.7987696
81.5,9.900092505,13.20012334,26.40024668
82.5,8.736800971,11.64906796,23.29813592
83.5,7.680140575,10.24018743,20.48037487
84.5,6.724955787,8.966607716,17.93321543
85.5,5.865610689,7.820814252,15.6416285
86.5,5.096130881,6.794841174,13.58968235
87.5,4.41033368,5.880444907,11.76088981
88.5,3.801945278,5.069260371,10.13852074
89.5,3.264704003,4.35293867,8.705877341
90.5,2.792449314,3.723265752,7.446531504
91.5,2.37919656,3.17226208,6.344524161
92.5,2.019197895,2.69226386,5.384527721
93.5,1.706990026,2.275986702,4.551973404
94.5,1.437429718,1.916572958,3.833145916
95.5,1.205718134,1.607624178,3.215248356
96.5,1.007415208,1.343220278,2.686440556
97.5,0.83844533,1.117927107,2.235854215
98.5,0.695095593,0.926794124,1.853588248
99.5,0.574007883,0.765343844,1.530687688
100.5,0,0,0
101.5,0,0,0
102.5,0,0,0
103.5,0,0,0
104.5,0,0,0
105.5,0,0,0
106.5,0,0,0
