,tcre
223,1.6991354688169207
248,1.4705900972160497
337,1.7979872183402177
1244,1.8509464795330206
1483,1.3698125289164964
3495,1.1158499900966647
3925,2.5011050142837474
4086,1.8146239522162537
5030,1.7046878532093226
10946,1.6599667877594102
12055,1.4440164045915127
12252,1.6013076156683903
16346,1.8212350062735871
17439,1.4185361684146192
17964,1.722792359135819
17989,1.2670644259862136
20430,1.58802484306274
20449,2.055963303980852
21903,1.8358905700398456
23364,1.868603127656333
27756,1.7350452294415477
28308,1.289568283060921
30593,1.606325337085646
31848,2.1683724183869484
32641,1.8410720780806205
33224,1.721548667981403
33441,2.0687500233106344
38506,1.5515420948693617
41580,1.096255779612581
41609,1.870734999298386
41661,2.206774727387176
43721,1.4770715048515486
45571,1.4040602063054919
45930,1.508722487792945
48841,1.863983404440159
49008,2.311850793666392
49048,2.2031462687879273
49555,1.8026466625586444
50094,1.481416389853927
54443,1.5958583911825233
55496,1.5547841010206214
55843,1.7581958801901054
56721,1.434003119158057
59064,1.464213176803587
61596,1.21921645826572
64312,1.6891608108757596
64899,1.5194922916712692
65896,1.5237288520320942
70750,1.3331371666847684
72115,1.4308961650609586
74638,1.273254714847584
78536,1.5477056781818874
79256,1.4617059940128998
83960,2.272481588616516
88397,1.689392377043263
91119,1.0682225596359656
92607,1.7546502984405585
93611,2.0633285296648842
98087,2.0807285225424152
99023,1.7363746961225264
101111,1.6429525076420672
103031,1.7120423323663496
103127,1.750546263802488
103551,1.5538860692554077
104192,1.7383297127178179
104797,2.1040792895681917
107831,1.6910742274007342
109673,1.831265706058676
113115,1.9692876188854118
115120,1.2454717170927363
115184,1.2760686056813126
115961,1.576252111237008
116420,1.4695248770915093
122181,1.5848865508614185
126399,1.6800828342196923
128182,1.6089006120725609
128656,1.5273760981029327
130107,2.00304508505257
130935,1.6446580470475423
132500,1.6256987877759614
134912,1.6323572851094037
137062,1.7056746546168613
137669,1.5315167819713948
138077,1.5741545865586266
138362,1.8979130278990968
138576,1.6664611038168282
139605,1.5927468002820182
142753,1.4846855705679953
145103,1.692579555395164
145950,1.953215115169291
146182,2.3683362079796346
146984,1.3414075724925623
149102,1.791877778286233
149375,1.192798871384851
149439,1.9111615423337962
150098,1.5273523746429387
152701,1.8978289251607694
153961,1.406543047038408
155692,1.2253253074422326
156618,1.9423035748932975
157018,1.5097406228836447
157582,1.459367236131708
158111,2.0343513879645747
159826,2.133854827312423
159902,1.6794882741048505
160055,1.2702732842934468
160896,1.6368460462535084
164142,1.7857662752325003
164558,1.367696942925559
169217,2.2294412517390017
169322,1.6197671201431105
171910,2.011481905622724
172987,1.5339026239602749
173619,1.5818308462915687
174237,1.606013939124356
174415,1.0855373165763287
177510,1.3470402619484032
177612,1.665562404379509
178647,1.5174526939886117
180377,1.4243987035295071
184447,1.2533445999610386
188376,1.690406945516838
191392,1.3015954228539939
191497,2.1119804700394083
191804,1.9701528906124661
194250,2.0265252197635513
195539,1.6439370023863396
197915,1.6155614997265384
198326,2.126393510958951
198475,1.6534949602596742
198930,1.7236581850259622
199728,1.5310292320572012
202348,1.8883915431960308
204179,2.113615623734118
204577,1.942427337833882
208004,1.3427226265368746
208778,1.6820942548495013
209506,1.5848014012964506
210981,1.663386046028674
211168,1.736154701059156
211592,1.557686249086229
211658,1.9552631882564393
212762,2.071356516726654
213767,1.1609826086384711
213884,1.682629384272423
214810,1.483155872471229
215491,1.5978550317176003
217420,2.056560523843926
219381,1.182124970425912
219427,1.9230176129405072
220832,1.3383620218252503
222495,2.045757365214528
223154,1.8644520279418717
226825,1.3156001310305039
230067,1.5681273761828272
230709,1.8053654195898585
230849,2.3729830056112005
231653,1.2379194439235788
231691,1.9672422868665698
236257,1.8194502135047472
238853,1.760828584655004
239019,2.050953136859826
241760,1.5039545577256228
242201,1.5971876488935821
242433,1.5521913411213575
242714,1.4518220456777513
243800,1.220179114234754
244037,1.3973495591967944
245184,1.4655452769537423
245693,2.039453730614695
246040,1.7380438555565636
246874,1.5798038908182428
247239,1.9081596912897067
247671,1.5873969763458236
249700,1.7710641538753993
253642,1.6639196178774325
254906,2.085918599477246
255471,1.9234732841987003
256561,1.757873082352572
259131,1.6525794120306556
260015,1.2879697478908176
260044,1.4709980162912852
260583,1.3485836404563931
261164,1.848562469009346
265045,1.4048238844328749
266146,1.5849099146787702
270487,1.7103089974281085
270771,1.2348288617512009
270891,1.3824771172528831
270908,1.5947305941672953
272922,1.5477127865797276
276448,2.2703569561199894
278211,1.5061683010006448
278989,1.3690895775248768
280442,1.5028163587213283
281349,2.2426889924415776
282221,1.541605954939762
282819,1.496793752706525
283185,1.4132382021247443
283539,1.8643669153812965
285729,1.9836433475271957
286975,1.8135391120358118
287366,1.2538845465661974
288606,1.7669918099337545
293094,1.667484695805956
293109,1.8256826563242317
297044,1.2156666917665004
297454,1.694024360564169
297546,1.8753787115968221
297890,2.2727568460028236
299148,1.6834201986966815
299405,2.1199048621156282
299789,1.5444631117573
300632,1.480657939800105
307150,1.5635902847834904
307762,1.7853451245857275
311543,1.8959079612130163
311799,1.4782489837822768
311823,2.068778027237443
314345,1.5548006896112965
315871,1.5202336643366077
318025,1.6650937117999032
318651,1.7983597246388998
323162,1.4423467404491654
328777,1.569220335859233
329980,1.799376548734355
331504,1.7968025393617253
332296,1.5599671584998196
332354,1.6996922155227214
334885,1.137142277337264
336112,1.5989340130206982
336265,1.808073728642702
336356,1.8245906733235606
337134,1.9227137809200148
338086,1.513564166539376
339395,1.4418076820228876
340141,1.4719034608997452
342807,1.9547442833559534
343228,1.5141682547078772
343686,2.0452341044236952
343982,2.163292083323574
345589,1.5183731480244382
346306,1.8473162705148112
346508,1.41155257672403
347327,1.7148327072829879
347600,2.215098541961923
347767,1.6947005753043118
349223,1.9946796678326861
351550,1.1862443230633057
351676,1.3816698254149178
353638,1.7050074819316254
354138,1.7107349800616285
354383,1.6333258884092008
354743,1.1655710864908675
355044,1.3176783142174078
360293,0.9595581355113422
361518,2.047593833973298
361677,1.1946698446533692
362129,2.0639374685931595
364846,1.693319492771894
367478,1.5415462797452866
372820,1.5987169697649388
374776,1.4310690144030005
374962,1.4924947102171973
375152,1.9652031938372594
375748,1.570368017493209
379606,1.2194016068355793
379667,2.5604181463384674
380640,1.482170573578636
383359,2.034237415310708
385410,1.753187290697265
386502,1.8888791441046568
386915,1.907871401794346
390019,2.088183439576171
390402,1.9417783238742952
392033,1.7194635208569258
392373,2.003871067249252
393002,1.8998347380362237
394957,1.7093269421951647
396325,1.6121499555744665
397291,1.4343374265965214
397796,1.8026806236196624
398208,1.40870671933752
398346,0.9777902323554637
398494,2.2404723589169064
398754,1.607194384246561
399766,1.2877210996568187
399830,1.5637334499113396
400033,1.3001554166453833
401805,2.0410832149708265
401872,1.4540489569265234
402746,1.6589091049566282
404849,2.0488672260862018
408607,1.910207482045531
409903,1.6771351631307911
412191,1.8275804773617972
413374,2.018611959000793
414874,1.5056994929870995
416441,1.9606608582897245
420576,1.6108535044748624
420680,1.5385519105117142
424663,1.5212900178772502
425495,1.6131889827512118
426274,1.6492392664253022
426398,1.5783178112800935
427711,1.513926500478317
428029,1.4638531634734007
428229,1.4493526728604649
430659,1.6393085015697533
432613,1.9779175502478126
434948,2.1695112405365857
435481,1.2002728370958138
436586,1.796981374656843
438340,1.911198620094899
438493,1.7797084448790212
441181,1.5115209485994132
442758,1.9830459340479856
